29389.0 2	9786.0 3	0123.0 3	0051.0 2	9754.0 3	0030.0 2	9575.0 2	9392.0 2	9248.0 2	8775.0 2	8750.0 2	8842.0 2	8818.0 2	9313.0 2	8998.0 2	8906.0 2	8946.0 2	8498.0 2	8668.0 2	8647.0 2	8401.0 2	8693.0 2	9344.0 2	9774.0 2	9781.0 2	9926.0 3	0781.0 3	1627.0 3	2288.0 3	2352.0 3	2714.0 3	2235.0 3	2176.0 3	2328.0 3	2566.0 3	2348.0 3	2989.0 3	3411.0 3	3370.0 3	2993.0 3	2848.0 3	2688.0 3	2807.0 3	3107.0 3	3875.0 3	3641.0 3	3745.0 3	4076.0 3	5140.0 3	6644.0 3	7087.0 3	6200.0 3	4797.0 3	3701.0 3	3489.0 3	3328.0 3	2735.0 3	2605.0 3	2316.0 3	1996.0 3	1605.0 3	0962.0 3	0813.0 3	0601.0 2	9981.0 2	9458.0 2	9597.0 2	9388.0 2	9072.0 2	9221.0 2	9042.0 2	9047.0 2	8501.0 2	8082.0 2	7480.0 2	7290.0 2	6472.0 2	5950.0 2	5175.0 2	4597.0 2	3946.0 2	3333.0 2	2728.0 2	2693.0 2	2270.0 2	2116.0 2	2076.0 2	1986.0 2	1840.0 2	1794.0 2	1741.0 2	1481.0 2	1219.0 2	0735.0 2	0545.0 2	0004.0 1	9467.0 1	8615.0 1	8013.0 1	7568
30358	29821	29477	29422	29067	29183	29425	29244	29628	29951	30146	29745	30343	29724	30047	29600	29735	29846	30533	30312	30182	29863	28909	28749	28421	27881	27735	27934	27707	28407	28572	29350	29672	29585	29736	29788	30543	30514	31174	30992	31326	30963	31716	31114	31120	31330	31371	32062	32493	32525	32159	31896	31545	31020	30539	30349	30027	30176	29110	28471	28386	28802	28947	28309	27964	27830	27714	27852	27592	27824	28127	27474	27277	27468	26557	26013	25489	25154	25082	24681	24298	24042	23423	23245	22961	22366	22136	22061	21419	21572	21098	20802	20496	20320	20091	20281	20723	20892	21595	21639
30347	30204	29938	29597	29266	29401	29250	29369	29421	29999	29735	30019	30051	29935	29686	29980	30382	30260	30461	30134	29775	29095	29687	28889	28611	28572	27933	27950	28157	28303	29063	29384	29194	29293	29695	30081	30201	30168	30358	30857	30750	31030	31116	30779	30681	30995	31676	31977	32957	32653	32743	31784	30715	31010	30907	30553	30468	29640	29280	28805	28555	28587	28318	28063	27393	27550	27554	27883	27773	27681	27078	27212	27224	27212	26660	26075	25844	25569	25172	25060	24928	24210	24025	23096	22700	22533	22542	21952	22223	22133	21756	21731	21654	21413	21481	21506	21450	22109	22454	22803
30392	30283	29970	29610	29842	29407	29174	29318	29682	29969	30022	30170	30255	30101	30445	30613	30580	30376	30833	30685	30402	29760	29251	29024	29325	28917	29173	28883	28886	28969	29134	29445	29250	29353	29395	29455	29972	30506	30689	30706	31341	31159	31318	30979	30428	30531	31374	32249	32548	32684	31813	31649	31190	30844	31065	31330	30809	30779	29243	29072	28839	28415	28447	27247	27163	26638	27281	27557	27384	27104	27207	27035	26917	26937	26375	25906	25893	26014	25979	25863	25192	25114	24033	23390	22908	22697	22708	22999	23023	22825	23051	22560	22825	22164	22296	22513	22853	22890	23179	23144
30166	30306	30473	30258	29892	29809	29667	29597	29562	30052	30274	30651	30880	30972	31382	31281	31523	31505	30800	30000	29881	29855	29602	29714	29921	30003	30142	29868	29829	29286	29720	29430	29341	29250	29536	29462	29924	30395	30691	31216	31577	31428	30784	30612	29837	30081	30801	31107	31997	32117	31180	30617	30045	30246	30619	30887	31269	30988	30315	29169	28358	28251	27421	27385	26480	26959	26745	26988	26989	27213	27002	27141	27066	27360	26801	26849	26617	26929	26886	26283	25945	25011	24073	23425	23155	23387	23466	23553	23591	23670	23712	24050	24389	24176	23598	23603	23929	24166	24152	23760
30626	30595	30445	30198	30164	29695	30066	30024	30270	30451	30621	31162	31565	32317	32661	33012	32819	32303	31321	31093	30190	29588	29860	29783	30213	31235	31079	30791	30731	30491	29999	29847	29678	29879	29674	30129	29883	30175	30696	30887	31535	31263	30823	30095	30022	29647	30157	30653	30904	30693	30757	29721	29415	29283	29716	30862	31729	31539	30583	29307	28494	27853	27464	26859	26622	26915	27182	26940	27138	26815	27208	27787	27843	28166	28271	27741	27785	27309	27344	26962	26111	25394	24715	23921	23517	23467	23861	24443	24808	24803	25337	25464	25261	24928	24734	24714	24622	25119	25017	23934
30484	30750	30670	30511	30175	29845	30167	30433	30493	30999	31466	31552	32956	33720	34767	34533	33502	32579	31588	30961	30038	29725	29606	29699	30840	31193	31987	31954	31807	31126	30399	29890	29841	30041	29527	29980	29939	30247	30511	31081	31325	31489	30600	29868	29255	29327	29440	30042	30330	30124	29456	29054	28744	28723	28935	29709	30522	30924	30630	29355	28433	27909	27121	26634	26576	26453	26677	27265	26735	27180	27508	27859	28767	29922	30006	29907	28888	27906	27206	27000	26245	25704	24895	24458	24234	24068	24475	24599	25305	25899	26413	26298	26483	26026	25454	25303	25492	25162	24885	23845
31026	30643	30683	30685	30430	30118	30437	30775	30760	30728	31488	32328	33700	35068	35592	34806	33533	32216	31099	30281	29980	29707	29238	30072	30706	31788	32599	33079	32478	31500	30231	30516	30055	30143	30377	30099	29619	29622	29810	30641	30869	30769	30226	30037	29284	29207	29083	29725	29372	29291	28854	27995	27415	27492	27781	28093	29719	30017	30114	29175	28328	27580	27172	26833	26866	27205	26870	26854	26816	27017	27520	28633	29762	31460	32675	32172	30152	29110	27778	26985	26607	26116	25686	25328	24754	24987	25060	25424	25681	26137	26285	26944	26413	26427	26124	25710	25542	25040	24734	23814
30805	30601	30336	30200	30083	30755	30984	31156	31217	31649	31589	32694	33901	34905	34582	33582	32361	31641	30681	29801	29066	29161	29789	30038	31173	32256	33082	33344	32120	31182	30420	29922	30487	30265	30027	30029	29475	29564	29365	30076	30068	30299	30223	29306	29262	28785	28890	29130	28990	28519	27936	27139	26868	26707	26709	27703	28648	29368	29792	29157	28258	27583	27406	27527	27273	27034	26542	26360	26416	26651	27150	28370	30226	32131	33049	32902	31294	29036	28170	27435	27074	26707	26157	25608	25586	25044	24941	25211	25291	26233	26775	26994	27269	26601	26406	26021	25767	25412	25004	24489
30242	30193	30477	30307	30426	31070	31186	31187	31954	31839	32553	32891	33426	33395	33280	32498	31925	31169	30416	30064	29479	29628	29952	30439	30709	31844	32610	32322	32154	31111	30540	30630	30916	30894	30623	30535	29741	29136	29159	29334	29587	29713	28999	29413	28555	28561	28701	28538	28903	28366	27065	26711	25938	26094	26264	27013	27876	29151	29291	29035	28484	27819	27669	27428	27469	26872	26570	26080	25936	26083	26730	27976	29598	31599	32687	32422	31098	29190	27880	27459	26580	26417	26089	25921	25241	24865	25177	25128	25313	25471	25959	26691	26746	26888	26436	26388	26052	25377	25585	24744
30401	30606	30437	30670	31371	31564	32042	32282	31841	32008	32518	32420	32866	32600	32414	32255	31597	31145	31089	30331	29961	30325	30178	30663	31243	31461	32071	31872	31237	30677	30303	30045	30331	30646	30620	30361	30110	29393	29116	29423	29170	29412	29077	28773	28923	28245	28745	28911	28636	27962	27270	26151	25792	25937	25887	26735	27478	28797	29103	28812	28301	27831	27279	27766	27855	27061	26762	25591	25570	25488	26217	26734	28639	29875	30144	30827	29724	28816	27818	27172	26636	26216	25886	25389	25026	24722	24753	24588	24773	25131	25619	25843	26148	26497	26344	26129	26542	26048	25796	25471
30690	30905	31363	31602	32491	32585	32922	31937	32090	31870	31927	32073	31895	32006	32320	32482	32808	32352	31798	31069	30815	30870	31180	31299	31427	31345	31413	31287	30834	29992	29842	30035	29927	30400	30598	30425	29992	29989	29784	29333	29405	28664	28636	28277	28125	28780	28575	28802	28453	27604	26958	25997	25814	25861	26260	26857	27742	28683	29179	29213	28488	28490	28266	28116	27628	27457	26944	26336	25412	25356	25496	26454	27207	27423	28436	28743	28733	28318	27708	26782	26473	25588	25034	24877	25058	24432	24350	24654	24682	24855	24943	25403	25488	25539	25553	26149	26144	26104	26064	25519
31108	31574	32921	33407	34351	34399	33430	33321	32020	31334	31419	31220	31487	31637	32721	33725	34091	33743	33255	32600	32020	31182	31020	31424	31407	31213	31391	30681	30043	29600	29136	28929	29754	29794	30502	30505	30767	30514	29914	29838	29279	29121	28274	28054	27804	27774	28304	28363	28135	27249	26437	25802	25609	25828	26383	27321	28477	29210	29189	28874	27973	27782	27931	28056	28060	27806	27272	26335	25556	25312	25133	25481	25798	26543	26757	27415	27654	27571	27265	26747	25890	25169	24861	24469	24477	24380	24073	24355	24486	24700	24725	24801	24918	25387	25566	25845	25903	26189	25667	25608
31121	32397	33624	34925	36100	36283	34763	33610	32080	31725	31078	30954	30861	31839	33203	34478	35899	35941	35229	33489	32593	32197	31371	31237	30761	31181	30576	30546	29948	29595	29280	29664	29147	29585	29791	30491	30654	30683	30593	30034	29304	28458	28220	27576	27759	27739	28052	27805	27592	27123	26298	25772	25566	25796	26553	27619	28555	28971	29004	28649	28298	27494	27629	27883	28067	28322	27759	27022	26246	25524	25421	25204	25122	25577	26374	26719	26851	27354	27578	27077	26212	25543	24957	24101	24216	24111	24158	24401	24683	24655	24665	24746	24822	24926	25013	25463	25277	25482	25446	25479
31504	32848	34532	36232	37136	37183	35829	34330	32453	30923	30567	30469	30981	31606	33551	35513	36439	36960	36510	35666	33727	32688	32049	31497	31656	31491	30877	30541	30085	29735	29705	29295	29366	29456	29752	30345	30679	30382	30354	29805	29052	28068	27560	27689	28044	28016	27644	27381	27087	26614	26271	25701	25598	26265	26403	27240	28324	28737	28738	28208	27464	27115	27329	27335	28208	28168	28314	27720	26889	26315	25706	25471	25485	25764	25940	26355	27290	27321	27802	27381	26422	25444	24835	24648	24261	24110	24196	24265	24582	24526	24907	24365	24735	24878	25295	25016	25210	25287	25536	25130
31421	32454	33906	35426	37325	37344	35754	34059	32271	31010	30788	30454	30504	31877	32639	34268	36561	37169	37022	35751	34476	33111	32339	31732	31231	31222	30953	30795	30075	30025	29735	29753	29534	29165	29490	29899	29777	30272	29887	29167	28300	27603	27364	27907	27541	27608	27377	27106	26721	26679	25761	25453	25593	25508	26340	27158	27506	27774	27977	27879	26960	26847	26819	27244	27679	28266	28365	28126	27586	26678	26641	26109	26026	26030	26668	26928	27346	27944	28155	27989	26739	25692	25164	24222	24125	24162	24215	24288	24501	24627	24592	24645	24498	24933	24453	24797	24527	24818	24963	24788
31384	32695	33603	35087	36028	36121	34287	33182	32536	31164	30613	30304	29902	31149	32131	34043	34689	36023	35995	35671	34491	32998	32732	32291	31539	31373	31611	31033	30550	30387	30438	29596	29367	29156	28978	28908	29252	29290	28922	28086	27455	26770	27178	27384	27670	27383	27263	26756	26371	26043	25703	25808	25354	25234	25617	26005	26276	27150	27353	27220	27072	26591	26309	26929	27235	27470	28169	28043	27876	27744	27182	27004	27214	27041	26944	27386	27415	27454	28285	27694	26638	25661	24828	24633	24219	24299	24251	24483	24519	24560	24259	24180	24191	24046	24240	24151	24114	24557	24334	24351
31372	31890	32491	33615	33462	33740	33482	32456	30950	31147	30327	29989	30053	30347	30863	32343	33932	34611	34953	34464	33597	32909	32567	31800	31921	31433	31136	31441	30927	30990	29927	29780	29114	28691	28208	28413	28760	28737	28500	28071	27569	26932	27020	27376	26681	26819	26543	26488	26427	26242	25674	24977	25118	25204	25612	25705	26422	26771	26916	26800	26557	26096	26197	26461	26886	27272	27527	27828	27940	27921	27720	27838	27834	27974	28092	27574	27689	27899	27531	27513	26326	25849	25162	24796	24468	24416	24345	24367	24505	24306	23921	24008	23776	23946	23621	23655	24128	24353	23984	23358
30856	31129	31569	31746	32383	32226	31863	31792	31568	30407	30382	29975	30186	30231	30711	31617	32585	33477	33389	33041	32571	31688	31776	31807	31600	31622	31498	31228	31064	30217	29840	29143	28890	28246	27986	27687	27834	27882	28190	27648	27488	27456	27147	26829	27090	26442	26119	26121	25943	25986	25702	25363	25262	25299	25587	26204	25858	26551	26635	26872	26436	26208	26006	25904	26374	26536	27056	27378	27453	27926	28090	28527	28933	28937	29086	28378	27755	27817	27169	26702	26703	25995	25315	24981	24491	24583	24557	24325	23942	24252	24004	24084	23713	23986	23705	23718	23614	23146	23183	23217
31526	31002	31241	31186	31525	31696	30904	31158	30792	30666	30720	30032	30147	30010	30203	30760	31446	31989	32316	32449	31534	32456	31983	32133	31582	31292	31092	30879	30656	30374	29486	28884	28353	27961	27410	27443	27794	27410	27508	27533	27325	26985	26489	26255	26086	26257	25525	25999	26327	26052	25841	25792	25511	25839	25710	25802	26221	26261	26315	26839	26396	25913	25878	26013	25956	26416	26964	27447	27566	27702	28319	28754	29379	29494	29721	29146	28436	27589	27528	26795	26590	26007	25560	25264	24883	24660	24579	24830	24527	24185	23929	23602	23695	23606	23443	23620	23207	23220	23083	22975
32220	32005	31303	31528	31332	31368	31375	31411	31258	30885	30811	30589	30367	30306	30289	30757	30751	31387	31796	31862	32234	31979	32040	32175	31314	30931	30534	30340	29851	29799	28761	28155	27674	27104	27083	27248	27266	27263	27227	26854	26489	26600	26213	25947	26087	25469	25615	25726	26154	26598	26015	26251	26891	26946	26609	26145	25659	26407	26175	26234	26402	26053	26147	25777	26243	26879	27393	27282	27420	27768	27914	28781	29454	30126	29741	29696	28891	27947	27442	27009	26683	26041	26209	25791	25250	25058	25143	24881	24443	24312	23991	24330	24351	24043	23907	24187	23689	23825	23254	22988
33585	32524	32207	31662	31771	31355	31625	31473	31393	31381	31247	30623	30276	29989	30286	30377	30614	30953	31309	31111	31266	31961	32395	31920	31431	30617	30019	29910	29332	29413	28725	28055	27384	26857	27161	26818	26525	26778	26457	26131	26356	25692	26154	25787	25510	25259	25465	25769	25747	25684	26272	26818	27781	28294	27362	26574	26156	25993	26061	26323	25953	25849	25952	26126	26256	26515	26819	27453	27500	27550	27761	28558	28906	29626	29740	29382	28412	27814	27661	27286	27517	26948	26431	25890	25701	25404	25362	25179	24855	24478	24612	24577	24789	24525	24598	24392	24386	23625	23271	23161
34079	33227	32825	32447	32242	32590	31988	31889	31910	31511	31104	30619	30541	29927	29952	29990	29866	30342	30570	31296	31338	31843	31877	31626	30953	30387	29760	29158	28878	28339	28086	27298	26850	26531	26483	26402	26510	26368	26502	26127	26021	25780	25662	25794	25763	25330	25423	25236	25642	25837	26238	27298	28456	28790	28473	27536	26558	26127	26427	26480	26164	26170	25993	26008	26274	26221	26782	27136	27633	27454	27268	27487	28182	28788	28760	28122	27886	27664	27913	27903	28173	27898	27485	26533	26245	26099	26046	25437	24995	24950	25290	25282	25370	25322	25404	25283	25015	24163	23891	23524
34359	33308	32962	32276	32386	32130	31892	31725	31798	31775	31364	30614	30335	29983	29623	29965	30180	29845	30168	30116	30701	30984	31454	30749	29953	29478	28800	28310	28145	27872	27353	26934	26668	26663	26589	26452	26623	26232	25754	26074	25629	25755	26009	25324	25923	25697	25482	25084	25054	25249	25700	27245	28120	28415	28034	27153	26334	26199	26084	26347	26386	26270	26269	26264	26358	26397	26887	26948	26875	27007	26833	26975	26978	27097	27518	27534	27312	27815	28218	29212	29291	28757	28072	27362	26492	26479	26304	25989	25658	25238	25232	25411	25771	26077	25926	26023	25677	25215	24291	24173
33977	33522	32840	32568	32658	32332	32309	31994	31796	31729	30892	30818	29895	29695	29735	29432	29508	29777	29684	29782	29977	30294	30437	30132	29082	28754	28056	27553	27366	27336	27301	26918	26546	26327	26611	26409	26388	26163	26298	25860	25784	25351	25453	25784	25484	25625	25558	25313	24954	24944	25085	26015	26957	26918	27089	26480	25908	25854	26082	26458	26537	26505	26069	25973	25878	26383	26331	26407	26814	26646	26783	26369	26339	26247	26339	26453	27250	27833	29166	30278	29885	29021	28159	27706	27392	26943	26493	25937	25435	25089	25076	25502	25607	25507	26259	26107	25934	25390	25085	24641
33467	32839	32541	32075	32064	32092	32266	32059	31982	31279	31012	30545	29998	29502	29414	29411	29454	29425	29246	29196	29446	29686	29620	28942	28661	27674	27101	27294	26965	26616	26991	26990	26870	26637	26561	26853	26171	26765	26290	25941	25653	25268	25057	25094	25321	25298	25341	24984	24842	24601	24575	25150	25298	25758	25666	25293	25197	25589	25854	26318	26486	26746	26250	26315	25826	25973	25846	26264	26312	26491	26571	26165	26147	25962	26141	26468	26653	27693	29279	29694	29535	28914	28209	27959	27640	27091	26674	25731	25395	25116	24680	24862	25060	25437	25712	25612	25502	25476	24906	24698
32855	31817	32102	32286	32181	32103	32066	31622	31170	31258	30946	30207	29859	29273	28951	28634	29021	28624	28758	29138	29109	29132	28603	28339	27773	27149	26824	26507	26751	26946	27244	26767	26872	26671	27122	26725	26986	26718	26486	26063	25673	25220	24856	24864	25118	25127	25220	25017	24605	24251	24390	24422	24789	24630	25078	25009	25326	25568	25305	26404	26579	26487	26478	26036	26027	26010	26167	26275	26225	26513	25962	26071	25907	25783	25867	25729	26552	27222	28251	28698	28751	28183	28343	27706	27076	26715	26117	25424	24829	24089	24355	24294	24392	24366	24263	24696	25076	25386	25389	25402
32047	32291	31844	31759	32133	32048	31659	31882	31431	30792	30241	29589	29434	28506	28248	28490	28163	28433	28481	28419	28418	28394	28417	28094	27215	27158	26868	26463	26282	26717	26815	27148	26853	27061	27018	27252	27107	26993	26374	26211	25369	24794	24360	24390	24606	24776	24754	24557	24462	23968	23937	23929	24098	24559	24707	25103	25356	25473	25884	25773	26230	26087	26192	26185	26015	26108	26278	26240	26401	26504	26211	25942	25865	25832	25846	25658	25780	26644	27364	27823	27972	27883	27318	27267	26546	26085	25000	24707	24635	24218	24234	23965	24092	23555	23491	23578	23907	24710	25215	25400
31017	31639	31352	31714	31757	31877	31743	31531	31018	30609	30178	29866	28911	28583	27958	28163	27623	28295	27909	28302	28361	28228	28062	27588	27175	26666	26231	26411	26618	27121	27365	27140	27308	27145	26744	26950	27199	26940	26538	26020	25329	25053	24528	24073	23898	24424	24061	24146	24166	23819	23785	23881	24215	24678	25033	25444	25718	25614	25895	25863	25545	25876	25465	25381	25481	25766	25973	26128	26094	25957	25611	25610	25510	25575	25121	24952	25615	26479	26802	27175	27370	27679	27081	26249	25796	25315	24424	24352	23926	24055	23714	23672	23235	22912	22215	22287	22433	23079	24360	25328
31775	31266	31442	31185	31446	31490	31251	31226	30921	30657	29969	29449	28735	28621	27889	27675	27692	27792	28167	27880	28042	27987	27452	27432	26915	27016	26602	26327	26502	26815	26812	27415	27374	27155	27130	27413	26778	27184	26811	26153	25799	25072	24506	24795	24368	24108	24350	24268	23828	23992	23735	23844	24090	24593	25281	25740	26030	26043	25518	25769	25859	25395	25182	24836	24959	25434	25571	25633	25734	25371	25378	25357	25297	24834	24732	24963	25491	26211	26827	27240	27371	27725	26705	25931	25227	24490	24302	23988	23997	23830	23552	23084	22846	22002	21674	21181	21214	22317	23512	24861
30836	30854	31251	31400	31589	31380	31419	31233	30780	30212	29918	29493	28704	28462	28666	28031	28396	28066	27935	27751	27543	27426	27379	27047	27318	26696	26661	26401	26255	26711	26983	26834	26960	27280	27513	27543	27755	27593	27943	27425	26760	26216	25626	24827	24624	24619	24571	24063	24136	23907	23871	23849	24389	24958	25383	25578	25213	25323	25624	25652	25235	24965	24664	24689	24990	25011	25312	25156	25095	25226	25335	25290	25171	24405	24364	24598	25283	25973	26812	27265	27109	27110	26812	25950	25107	24327	24012	24022	23904	23634	23085	22865	21991	21380	20707	20460	20607	20769	22212	23846
31326	31395	31499	31538	31097	31233	31285	31079	30848	30477	29984	29620	28941	28819	28475	28507	28737	29136	28667	28293	27954	27504	26995	26702	26624	26633	26848	26726	26493	26924	26965	27052	27339	27174	27526	27435	28371	28985	29162	29073	28856	28037	27008	26312	25497	25092	24847	24960	24783	24441	23992	24216	24487	24626	24927	25023	25371	24972	25499	25111	25165	24524	24139	24259	24299	24886	24705	25261	25391	25324	25578	25235	24771	24466	24187	24279	24986	25988	26645	26913	27277	27303	26563	25633	25222	24607	24442	24020	23762	23467	22697	21929	21058	20491	20220	19501	19564	20118	21489	23422
31768	31879	32009	31804	31647	31115	31406	31154	30976	30873	30192	29573	29080	28780	29017	29839	30303	29785	29634	28909	28057	27593	27151	26691	26518	27027	26736	26851	27391	26959	27004	27156	27078	26986	27923	28438	29434	30211	31312	31590	31789	30575	29567	27725	26459	26069	25515	25040	25077	25091	24580	24434	24246	24389	24322	24736	24667	24702	24789	24768	24628	24524	24194	24004	24331	24683	24706	24654	25129	25318	25185	25320	24376	24053	23775	23797	24301	25087	25702	26612	27240	27428	26872	25942	24739	24738	24411	24649	23921	23203	22670	21763	20876	20059	19743	19135	18727	19482	20709	22372
32197	33031	32618	33053	32319	31998	31658	32048	31431	31125	30539	30186	29673	29414	29558	29895	30415	30786	31032	30363	29290	28506	27528	26702	26939	26881	27509	27847	27586	27959	27940	27269	27462	27566	27837	29324	30895	32032	33719	34458	35297	34420	32489	30287	28134	26892	26070	26063	25869	25007	25042	24662	24582	24263	24406	24294	24345	24538	24561	24838	24590	24522	24577	24431	24422	24294	24624	24827	25017	25549	25590	24966	24535	23663	23627	23688	23540	24076	24605	25852	26670	26761	26323	25274	24886	24452	24435	24077	24075	23308	22381	21368	20543	19771	19262	18864	19092	19214	20134	21924
33134	33311	33927	33354	32782	32699	32186	31823	31888	31281	30845	30532	29958	30097	29883	30112	30363	31245	31742	31001	30461	29326	27908	27229	26862	27604	27863	28360	28715	28769	28714	28440	27877	27916	28636	29545	31711	34727	36907	38526	39370	38298	35912	32722	29926	27574	26710	25740	25457	25537	25138	24820	24310	24119	24278	23966	24206	24371	24339	24500	24946	25019	24937	24456	24319	24320	24183	24286	25122	25460	25265	24736	24021	23891	23447	22931	23199	23402	24105	24938	25599	26157	25295	24786	24295	24049	24037	24091	23589	23276	22247	21440	20418	19759	19061	18911	18995	19588	20854	21780
33944	33998	33707	33456	32958	32478	31749	31757	31644	31429	31382	30475	30247	29806	29823	29647	29932	30458	30665	30709	30381	29825	28622	27626	27268	27772	28617	29029	29245	29367	29269	28609	28216	28286	28998	30621	32850	35792	38992	40718	42365	41493	38837	35064	30979	28053	26248	25586	25258	24738	25039	24756	24831	24381	24211	24207	23899	24318	24268	24837	25118	25342	24711	24276	24105	23851	23743	23747	24175	24963	24991	24205	23613	22983	23352	23194	23220	23294	23660	23955	24599	24517	24110	23674	23426	23428	23386	23631	23257	22991	22272	21626	20832	20158	20059	19802	19948	20354	20984	22352
33366	34000	34152	33726	32636	32006	31854	31368	30988	30904	30790	30398	30121	29791	29494	29381	28895	29059	29570	29394	29353	29300	28362	27883	27370	27716	28528	28871	29267	29166	29321	29469	28987	28550	29113	30756	33530	36204	39506	42569	43154	42852	39476	35294	30858	27462	25628	24553	24116	24709	24798	24867	24762	24583	24363	24523	24270	24207	24190	24371	24850	24850	24640	24188	23627	23386	23380	23246	23913	23811	23837	23346	23267	23423	23227	23088	22995	23263	23486	23847	24160	23904	23499	23214	22668	22711	22481	22910	22790	22511	22581	21940	21602	21273	21159	21100	21085	21171	22270	23438
33318	34003	33326	32708	32410	31563	31084	31097	30706	30242	30252	29690	29515	28852	28407	28035	28128	28383	28270	28485	28141	28468	28574	27756	27389	27663	28064	28404	28584	29244	29394	29360	28622	28667	29450	30599	32326	35975	38609	40303	41133	40585	38756	34498	29942	26924	24849	23784	23614	23736	24566	25422	25463	25483	25028	24905	24727	24121	24403	24387	24597	24082	23977	23594	23075	23085	22839	22677	22476	23140	23329	23127	22946	22983	23207	23396	23097	23010	23509	23905	23585	23666	23086	22846	22244	22329	22328	22349	22646	22891	22523	22309	22040	22393	22459	22224	21999	22030	22541	23883
33226	32703	32867	32373	31977	31254	30664	30475	30198	29740	29714	29343	28753	28099	27702	27589	27017	27314	26649	26579	26709	26912	27333	27243	26935	27342	27313	27630	27883	28041	28465	28519	28241	28074	28113	29271	31955	34117	35866	37362	38014	36963	34980	31460	28080	25291	23865	23164	23122	23891	24680	25973	27108	27019	26297	25439	24593	24659	24107	24137	24084	23909	23273	22989	22971	22480	22317	22290	22420	22769	22822	23061	23188	23163	23856	23183	23360	23414	23170	23295	23628	23120	23056	22533	22152	21930	22110	22195	22601	22688	22844	22678	22868	23135	23112	23305	22483	22589	22969	23885
32487	32376	32403	31698	31707	31041	30645	30291	29884	29431	29469	28904	28386	27619	27017	26192	26057	25366	25613	25481	25619	26254	27031	26858	26620	26528	26767	26947	26669	26963	27178	27199	27325	27020	27456	28043	29716	31219	32761	33345	33351	32426	30564	28815	26320	24409	23442	22550	22940	23247	24279	25887	27539	28584	27895	26805	25526	24718	24360	24035	23788	23343	23086	22668	22181	22001	21929	21841	22047	22602	22820	23071	23086	23676	23567	23385	23482	22989	23347	23435	23208	23142	23045	22592	22268	22295	22311	22537	22600	22697	22856	23315	23345	23325	23583	23713	22996	22662	23115	24069
32292	32165	31900	31665	31205	31313	30797	30529	30063	30216	28963	28130	27827	26932	26300	25628	24844	24648	24535	24439	24694	25614	26362	26962	26530	26675	26213	25786	25662	25694	25921	25947	26077	26158	25628	26446	27666	28359	28810	29471	29163	28501	26963	25822	24404	23655	22949	22276	22612	22853	24182	25761	27851	28772	28605	27053	25442	24461	23604	23178	22907	22703	22582	22486	22200	21884	21890	21945	22235	22451	23067	23031	23519	23491	23753	23538	22984	22832	23094	22862	22955	22940	22850	22695	22291	22586	22329	22382	23049	22865	23353	23481	23689	23806	23916	23387	23042	23587	23552	24041
32339	31920	31659	31958	31576	31349	31229	30870	30432	29348	28858	28193	26773	26210	25102	24162	23872	23433	23547	23803	24426	25520	26733	27224	27688	27322	25990	25451	25295	25020	24850	24596	24304	24808	24940	25229	25623	25867	26327	26347	26032	25333	24881	24337	23385	23032	22165	22083	22047	22666	23097	24704	26547	27554	27466	26204	24986	23697	23040	22908	22596	22772	22640	22415	22212	22009	21922	21539	22069	22651	22680	22985	23013	23254	23255	23050	22920	22568	22538	22699	22561	22877	22544	22421	22656	22600	22638	22849	23130	23071	23276	23943	24067	24561	24052	23910	23691	23354	23678	23818
32243	32606	32015	31998	31642	31732	31439	31524	30195	29782	28637	27891	26487	25468	24430	23664	22815	22620	22940	23451	24253	25320	27419	28584	28612	27189	26645	25444	24779	24249	23974	24086	24090	24076	24289	24633	24886	25015	24906	24438	24162	24024	24069	23462	23524	22747	22139	21864	21918	22241	23172	23870	25068	26089	25957	25313	23954	23038	22423	22105	21999	22541	22472	22607	22404	21847	21866	22221	22228	22455	22551	22649	22971	22998	22869	22747	22513	22449	22122	22220	22532	22526	22235	22477	22670	22581	22782	22725	22498	23077	23510	23888	24339	24075	24173	23723	23852	23759	23571	23902
33209	31984	32314	31374	31476	31755	31723	30927	30762	29738	28423	27827	26536	25285	24397	23572	22897	22623	22768	23066	23739	25253	27017	28383	28683	27969	26497	25690	24912	24323	24068	23572	23445	23940	24275	24385	24401	24104	24266	23847	23703	23370	23305	23130	22826	22029	21837	21623	21768	21790	22263	22922	23542	24219	24707	24049	22966	22152	21799	21719	21914	21947	22385	22296	21994	22003	21794	21955	21967	22416	22350	22752	22622	22603	22448	22196	22032	21716	22057	22187	22178	21989	22380	22396	22512	22711	22988	22823	23202	23172	23351	23614	23895	24478	23923	23618	23586	23238	23522	23395
33136	32847	32563	31677	31194	31410	31188	31103	30844	29914	29333	28398	27400	25964	24852	23592	23197	22683	22407	22642	22935	24195	25751	26987	27668	27207	26399	25249	24864	24624	24170	24174	24312	24085	24044	24365	24125	23639	23368	23493	23324	23492	22838	23022	22704	21892	21771	21350	21154	21525	21673	21990	22907	23074	22863	22352	22115	21505	21319	21155	21701	21810	21954	22043	21653	22145	21790	21961	22073	22101	21971	22147	22337	22173	22001	22015	21541	21716	21482	21612	21753	21652	21441	21831	21775	22411	22344	22698	22388	22656	22989	23216	23626	23515	23625	23642	23188	23214	23202	23923
